Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Rock, 0, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Paper, Scissors, 0, 2, Rock
Rock, Rock, 3, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Rock, Rock, 3, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Scissors, 0, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Paper, Rock, 6, 2, Rock
Paper, Scissors, 0, 2, Rock
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Rock, 0, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Paper, Scissors, 0, 2, Rock
Paper, Rock, 6, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Scissors, 0, 2, Rock
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Rock, 3, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Rock, 0, 3, Paper
Rock, Rock, 3, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Scissors, 0, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Paper, Scissors, 0, 2, Rock
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Rock, 3, 1, Scissors
Paper, Rock, 6, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Paper, Scissors, 0, 2, Rock
Paper, Scissors, 0, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Rock, 0, 3, Paper
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Scissors, 0, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Rock, 0, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Paper, Scissors, 0, 2, Rock
Rock, Scissors, 6, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Rock, 0, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Rock, 3, 1, Scissors
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Rock, 3, 1, Scissors
Paper, Scissors, 0, 2, Rock
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Rock, 3, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Rock, 3, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Scissors, 0, 2, Rock
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Rock, 0, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Rock, 3, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Paper, Rock, 6, 2, Rock
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Paper, Scissors, 0, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Rock, 3, 1, Scissors
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Paper, Paper, 3, 2, Rock
Rock, Rock, 3, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Rock, Rock, 3, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Rock, Rock, 3, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Scissors, 0, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Rock, Scissors, 6, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Scissors, 3, 3, Paper
Paper, Paper, 3, 2, Rock
Rock, Scissors, 6, 1, Scissors
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Rock, Paper, 0, 1, Scissors
Rock, Paper, 0, 1, Scissors
Paper, Rock, 6, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Paper, 6, 3, Paper
Rock, Scissors, 6, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Rock, 0, 3, Paper
Scissors, Paper, 6, 3, Paper
Paper, Paper, 3, 2, Rock
Paper, Paper, 3, 2, Rock
Scissors, Paper, 6, 3, Paper
Scissors, Rock, 0, 3, Paper
Rock, Paper, 0, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Paper, 0, 1, Scissors
Paper, Scissors, 0, 2, Rock
Rock, Scissors, 6, 1, Scissors
Rock, Paper, 0, 1, Scissors
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
Scissors, Scissors, 3, 3, Paper
